id_x,host_response_rate,host_is_superhost,host_listings_count,accommodates,bedrooms,beds,maximum_nights,price,review_scores_rating,review_scores_cleanliness,review_scores_location,number_of_reviews,neighbourhood,property_type,neighbourhood_freq,property_type_freq
1332571739436064087,1.0,1,3.0,2.0,1.0,1.0,365.0,130.0,5.0,5.0,5.0,1,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1332604156129447502,1.0,0,1.0,2.0,1.0,1.0,6.0,126.0,5.0,5.0,4.8,25,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1333315500319255042,1.0,0,5.0,2.0,1.0,1.0,365.0,164.0,4.27,4.73,4.82,121,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1333871691001263845,1.0,0,10.0,2.0,1.0,1.0,120.0,124.0,3.0,5.0,5.0,1,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1334013791348415423,1.0,0,2.0,6.0,2.0,3.0,14.0,209.0,4.35,4.78,4.65,529,Unknown,Entire condo,0.5945340501792115,0.08109318996415771
1334190041054905530,1.0,0,1.0,2.0,1.0,1.0,365.0,86.0,4.67,4.67,4.67,9,"Balbriggan, County Dublin, Ireland",Private room in home,0.0008960573476702509,0.22334229390681004
1334668484489266067,1.0,0,10.0,2.0,1.0,1.0,120.0,172.0,4.0,3.75,4.25,16,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1335573961405878596,1.0,0,3.0,2.0,4.0,1.0,28.0,85.0,5.0,4.5,4.5,4,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1335650304762795178,0.33,0,1.0,4.0,2.0,2.0,365.0,186.0,4.0,4.0,4.0,4,Unknown,Entire condo,0.5945340501792115,0.08109318996415771
1336063766158651097,1.0,0,1.0,5.0,4.0,1.0,365.0,350.0,5.0,5.0,4.0,1,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1336375288272618373,1.0,0,1.0,2.0,1.0,1.0,21.0,68.0,4.95,4.9,4.55,400,"Lucan, County Dublin, Ireland",Entire cabin,0.005824372759856631,0.004256272401433692
1336864630323308895,0.93,0,4.0,2.0,2.0,3.0,365.0,164.0,4.67,4.67,5.0,9,Unknown,Private room in bed and breakfast,0.5945340501792115,0.013888888888888888
1337832921948491368,1.0,1,2.0,8.0,4.0,4.0,28.0,462.0,5.0,5.0,5.0,1,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1338558934959642710,0.91,1,2.0,5.0,3.0,3.0,28.0,302.0,5.0,5.0,4.89,324,"Dublin, County Dublin, Ireland",Entire home,0.11559139784946236,0.1646505376344086
1338876174270384903,1.0,0,7.0,8.0,3.0,3.0,365.0,178.0,4.69,4.77,4.69,169,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1339033700887504970,1.0,1,5.0,8.0,2.0,5.0,180.0,314.0,4.8,4.7,5.0,100,Unknown,Entire condo,0.5945340501792115,0.08109318996415771
1339093969668643293,0.98,0,11.0,1.0,1.0,4.0,90.0,30.0,4.67,4.33,4.33,9,Unknown,Shared room in home,0.5945340501792115,0.0035842293906810036
1339185029521302233,1.0,0,2.0,2.0,1.0,1.0,365.0,78.0,4.5,4.25,4.25,16,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1339189457180160819,1.0,0,2.0,2.0,1.0,2.0,365.0,86.0,4.0,3.67,3.67,9,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1339614599920443657,1.0,0,4.0,2.0,1.0,1.0,6.0,112.0,4.5,4.29,4.71,196,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1339804303927033910,1.0,1,3.0,2.0,0.0,1.0,30.0,105.0,4.75,4.75,4.25,16,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1340150562595438610,1.0,0,1.0,2.0,1.0,1.0,365.0,73.0,5.0,5.0,4.33,9,Unknown,Private room in home,0.5945340501792115,0.22334229390681004
1340612611543976566,0.97,1,84.0,2.0,1.0,1.0,180.0,171.0,5.0,5.0,5.0,1,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1340612832837189164,0.97,1,84.0,2.0,1.0,1.0,180.0,171.0,5.0,5.0,5.0,1,"Dublin, County Dublin, Ireland",Entire rental unit,0.11559139784946236,0.2318548387096774
1340655288199291994,1.0,1,2.0,2.0,1.0,1.0,365.0,82.0,4.93,4.86,4.93,196,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1341206318374484676,1.0,1,24.0,4.0,2.0,2.0,365.0,135.0,4.84,5.0,4.84,361,Unknown,Entire home,0.5945340501792115,0.1646505376344086
1341211430182709309,1.0,1,24.0,3.0,2.0,2.0,365.0,128.0,4.75,4.6,4.7,400,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1341273365917034622,0.9,0,2.0,1.0,1.0,1.0,365.0,50.0,5.0,4.0,5.0,1,Unknown,Shared room in rental unit,0.5945340501792115,0.0029121863799283156
1341308623931284983,0.94,0,4.0,1.0,1.0,2.0,365.0,30.0,5.0,5.0,5.0,4,Unknown,Shared room in rental unit,0.5945340501792115,0.0029121863799283156
1341355808785428831,0.86,0,273.0,5.0,2.0,4.0,365.0,286.0,5.0,5.0,5.0,9,Unknown,Entire rental unit,0.5945340501792115,0.2318548387096774
1341478049099683152,1.0,0,1.0,2.0,1.0,1.0,10.0,101.0,4.81,4.88,4.69,256,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1341988458366593274,1.0,1,2.0,2.0,1.0,1.0,14.0,99.0,5.0,5.0,5.0,4,Unknown,Private room in rental unit,0.5945340501792115,0.09363799283154121
1342119870333141842,0.9,0,1.0,10.0,5.0,5.0,30.0,455.0,4.94,4.94,4.88,289,Unknown,Entire townhouse,0.5945340501792115,0.018145161290322582
